MSG,1,111,11111,A29EA2,111111,2020/01/20,21:00:04.351,2020/01/20,21:00:04.316,PEG68   ,,,,,,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:04.496,2020/01/20,21:00:04.448,,,,,,,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:04.507,2020/01/20,21:00:04.508,,,,,,,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:04.525,2020/01/20,21:00:04.510,,,,,,,,,,,,0
MSG,8,111,11111,A24014,111111,2020/01/20,21:00:04.538,2020/01/20,21:00:04.512,,,,,,,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:04.548,2020/01/20,21:00:04.513,,,,,,,,,,,,0
MSG,8,111,11111,A85D00,111111,2020/01/20,21:00:04.579,2020/01/20,21:00:04.574,,,,,,,,,,,,0
MSG,3,111,11111,A29EA2,111111,2020/01/20,21:00:04.599,2020/01/20,21:00:04.577,,39950,,,43.03969,-75.40231,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:04.700,2020/01/20,21:00:04.645,,,,,,,,,,,,0
MSG,4,111,11111,A85D00,111111,2020/01/20,21:00:04.796,2020/01/20,21:00:04.773,,,329,271,,,832,,,,,0
MSG,3,111,11111,A85D00,111111,2020/01/20,21:00:04.837,2020/01/20,21:00:04.836,,31350,,,43.09282,-75.63084,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:05.121,2020/01/20,21:00:05.097,,,,,,,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:05.132,2020/01/20,21:00:05.098,,,,,,,,,,,,0
MSG,5,111,11111,A85D00,111111,2020/01/20,21:00:05.141,2020/01/20,21:00:05.099,,31350,,,,,,,0,,0,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:05.151,2020/01/20,21:00:05.100,,,,,,,,,,,,0
MSG,8,111,11111,A85D00,111111,2020/01/20,21:00:05.168,2020/01/20,21:00:05.162,,,,,,,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:05.168,2020/01/20,21:00:05.163,,,,,,,,,,,,0
MSG,8,111,11111,A85D00,111111,2020/01/20,21:00:05.179,2020/01/20,21:00:05.164,,,,,,,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:05.179,2020/01/20,21:00:05.164,,,,,,,,,,,,0
MSG,3,111,11111,A29EA2,111111,2020/01/20,21:00:05.183,2020/01/20,21:00:05.165,,39950,,,43.03972,-75.40345,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:05.197,2020/01/20,21:00:05.166,,,,,,,,,,,,0
MSG,5,111,11111,A29EA2,111111,2020/01/20,21:00:05.211,2020/01/20,21:00:05.167,,39950,,,,,,,0,,0,0
MSG,4,111,11111,A29EA2,111111,2020/01/20,21:00:05.303,2020/01/20,21:00:05.293,,,349,274,,,-64,,,,,0
MSG,8,111,11111,A85D00,111111,2020/01/20,21:00:05.576,2020/01/20,21:00:05.558,,,,,,,,,,,,0
MSG,8,111,11111,A29EA2,111111,2020/01/20,21:00:05.759,2020/01/20,21:00:05.754,,,,,,,,,,,,0
MSG,5,111,11111,A29EA2,111111,2020/01/20,21:00:05.789,2020/01/20,21:00:05.758,,39950,,,,,,,0,,0,0
MSG,8,111,11111,A85D00,111111,2020/01/20,21:00:05.849,2020/01/20,21:00:05.822,,,,,,,,,,,,0
